source_row,username,name,ig_handle,ig_url,original_category,original_industry,original_message_cleaned,message_english,age,years_of_experience_skills,skills_detailed,skill_category,source_skill_field,source_experience_field,scraped_at
671,leilinor_novianto,leilinor_novianto leilinor_novianto Hallo,@leilinor_novianto,https://www.instagram.com/leilinor_novianto/,Agency,Teknologi,"Hallo, my name is Lia. I am Architect from Indonesia. For $50 I can make your Floorplan and 3D Architectural Design or Marketing Kit for your property. I can speak English & Malay. My porthofolio can be seen on tiktok @nuevoarch and IG @leilinorstudio #HireIndones","Hallo, my name is Lia. I am Architect from Indonesia. For $50 I can make your Floorplan and 3D Architectural Design or Marketing Kit for your property. I can speak English & Malay. My porthofolio can be seen on tiktok @nuevoarch and IG @leilinorstudio #HireIndones",Not mentioned,Not mentioned,"3d, marketing, architect, english","3D / Animation, Marketing & Growth, Architecture / Interior, Language / Translation",3d,Tidak disebutkan,46190.43828761574
166,mzen.zain,Hello,@mzen.zain,https://www.instagram.com/mzen.zain/,Agency,Desain & Kreatif,"Hello, my name is Mazain Rizqi Akbar. A 3D Animation student from SMK Plus NU Sidoarjo with 6 months of industrial internship experience at MOCCA STUDIO GROUP, Malang. Possesses a solid understanding of fundamental animation principles, body mechanics, and character acting, backed by excellent perfo","Hello, my name is Mazain Rizqi Akbar. A 3D Animation student from SMK Plus NU Sidoarjo with 6 months of industrial internship experience at MOCCA STUDIO GROUP, Malang. Possesses a solid understanding of fundamental animation principles, body mechanics, and character acting, backed by excellent perfo",Not mentioned,Not mentioned,"3d, animation, acting","3D / Animation, Talent / Performing Arts",3d,Tidak disebutkan,46190.43775398148
574,harizabori,Hello,@harizabori,https://www.instagram.com/harizabori/,Agency,Teknologi,"Hello, I’m Muhamad Hariza. I’m a Product Concept Developer, 3D Designer, and Manufacturing Specialist. I help turn ideas into production-ready products, from concept and 3D design through to the manufacturing process using CNC, laser cutting, and various other production techniques. I also have expe","Hello, I’m Muhamad Hariza. I’m a Product Concept Developer, 3D Designer, and Manufacturing Specialist. I help turn ideas into production-ready products, from concept and 3D design through to the manufacturing process using CNC, laser cutting, and various other production techniques. I also have expe",Not mentioned,Not mentioned,"3d, 3d design, developer","3D / Animation, Technology & Engineering",3d,Tidak disebutkan,46190.43828756944
211,jagd_19,Hi,@jagd_19,https://www.instagram.com/jagd_19/,Agency,Teknologi,"Hi, I'm Taufiq. Technical 3D Generalist, Game Developer, and Software Engineer. 4+ years crafting production-ready 3D assets and real-time content with Blender & Maya. Built games with Unity & Unreal Engine while leveraging 5+ years of programming experience to streamline pipelines and gameplay syst","Hi, I'm Taufiq. Technical 3D Generalist, Game Developer, and Software Engineer. 4+ years crafting production-ready 3D assets and real-time content with Blender & Maya. Built games with Unity & Unreal Engine while leveraging 5+ years of programming experience to streamline pipelines and gameplay syst",Not mentioned,4+ years,"3d, blender, software engineer, game developer, programming, developer, engineer","3D / Animation, Technology & Engineering, Engineering","3d, blender",4+ tahun,46190.43789898148
27,jhordideamarall,jhordideamarall jhordideamarall hai,@jhordideamarall,https://www.instagram.com/jhordideamarall/,Lainnya,Lainnya,"hai, im Jhordi im building https://mira-ai.chat","hai, im Jhordi im building https://mira-ai.chat",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43708004629
92,ronalsagala_,ronalsagala_ ronalsagala_ Hello world,@ronalsagala_,https://www.instagram.com/ronalsagala_/,Agency,Teknologi,"Hello world, I'm Ronald Graduate at Bachelor of Communications Science. I'm not a professional worker but I guarantee to do the best with your company business. I have experience in AI Automation make your flow in your company seamless and optimised, Can Do AI Automation li","Hello world, I'm Ronald Graduate at Bachelor of Communications Science. I'm not a professional worker but I guarantee to do the best with your company business. I have experience in AI Automation make your flow in your company seamless and optimised, Can Do AI Automation li",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43734570602
191,noellucan,noellucan,@noellucan,https://www.instagram.com/noellucan/,Lainnya,Media & Entertainment,"Hi! I’m Noel 👋 Currently learning and exploring AI workflows, content systems, and digital media. I enjoy building, experimenting, and discovering new ways AI can support creativity and everyday work. Open to collaborations, interesting projects, and opportunities to grow and learn.","Hi! I’m Noel 👋 Currently learning and exploring AI workflows, content systems, and digital media. I enjoy building, experimenting, and discovering new ways AI can support creativity and everyday work. Open to collaborations, interesting projects, and opportunities to grow and learn.",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43782641204
373,surya_fitaiowner,surya_fitaiowner,@surya_fitaiowner,https://www.instagram.com/surya_fitaiowner/,Agency,Teknologi,"Proud to be Indonesian 🇮🇩 I currently serve as a firefighter, and outside of my duty, I'm building something I'm deeply passionate about: Surya-FitAi, an AI-powered online personal trainer platform designed to make fitness guidance accessible to everyone. The goal","Proud to be Indonesian 🇮🇩 I currently serve as a firefighter, and outside of my duty, I'm building something I'm deeply passionate about: Surya-FitAi, an AI-powered online personal trainer platform designed to make fitness guidance accessible to everyone. The goal",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43828746528
384,jonathandevrinno,jonathandevrinno,@jonathandevrinno,https://www.instagram.com/jonathandevrinno/,Startup,Teknologi,"If you are a founder or business owner who needs to focus on important tasks, nice to meet you! My name is Devrin. Currently im working on AI Automations, help you to do low & repetitive tasks. I also do customize service to fit your company needs. DM for details!🙌","If you are a founder or business owner who needs to focus on important tasks, nice to meet you! My name is Devrin. Currently im working on AI Automations, help you to do low & repetitive tasks. I also do customize service to fit your company needs. DM for details!🙌",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43828746528
443,byadamamrullah,byadamamrullah byadamamrullah Hi,@byadamamrullah,https://www.instagram.com/byadamamrullah/,Lainnya,Media & Entertainment,"Hi, I help companies scale revenue with paid media and AI-driven growth. Check for more details: adam.boostwithai.se","Hi, I help companies scale revenue with paid media and AI-driven growth. Check for more details: adam.boostwithai.se",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.4382875
585,tsaniannadia,tsaniannadia,@tsaniannadia,https://www.instagram.com/tsaniannadia/,Startup,Lainnya,"Hi! Tsania is here. Curently I work as a Data Annotator and AI Data Collector in several global companies. I start doing this job since 2023 and getting serious in this year. As an Annotator, I called myself a detail oriented person. Very open for any chance in Annotator jo","Hi! Tsania is here. Curently I work as a Data Annotator and AI Data Collector in several global companies. I start doing this job since 2023 and getting serious in this year. As an Annotator, I called myself a detail oriented person. Very open for any chance in Annotator jo",Not mentioned,Not mentioned,ai,AI / Data Science,Tidak terdeteksi,Tidak disebutkan,46190.43828756944
482,bangpalsayoga,bangpalsayoga bangpalsayoga Hi,@bangpalsayoga,https://www.instagram.com/bangpalsayoga/,Developer,Teknologi,"Hi, I'm an AI/ML Engineer & Data Scientist with 3+ years of experience in AI engineering, machine learning models, and high-impact BI dashboards at one of Indonesia's largest banks. My work has reached thousands of daily users, and I've been recognized as a Top 10 Global","Hi, I'm an AI/ML Engineer & Data Scientist with 3+ years of experience in AI engineering, machine learning models, and high-impact BI dashboards at one of Indonesia's largest banks. My work has reached thousands of daily users, and I've been recognized as a Top 10 Global",Not mentioned,3+ years,"machine learning, engineering, engineer, ai, AI/ML Engineer","AI / Data Science, Engineering",Tidak terdeteksi,3+ tahun,46190.438287523146
454,morn4869_,Hi,@morn4869_,https://www.instagram.com/morn4869_/,Freelancer,Teknologi,"Hi, I'm Mori, a Product Manager based in Jakarta with 3 years of experience building B2C, B2B, and operational platforms across healthtech, HR SaaS, and AI products. I've shipped 9 features for an HCM platform, launched a mental health B2B service that secured the company's first enterprise client,","Hi, I'm Mori, a Product Manager based in Jakarta with 3 years of experience building B2C, B2B, and operational platforms across healthtech, HR SaaS, and AI products. I've shipped 9 features for an HCM platform, launched a mental health B2B service that secured the company's first enterprise client,",Not mentioned,3 years,"ai, hr","AI / Data Science, Human Resources",Tidak terdeteksi,3+ tahun,46190.4382875
43,daviqjalaludinrumi,daviqjalaludinrumi,@daviqjalaludinrumi,https://www.instagram.com/daviqjalaludinrumi/,Designer,Desain & Kreatif,"assalamualaikum, hello everyone im daviq i'm a professional archirtect I’m not the smartest architect. Not the most visionary designer. Not the loudest voice in the room. But I’ve spent years learning how spaces are understood before they are built. How ideas be","assalamualaikum, hello everyone im daviq i'm a professional archirtect I’m not the smartest architect. Not the most visionary designer. Not the loudest voice in the room. But I’ve spent years learning how spaces are understood before they are built. How ideas be",Not mentioned,Not mentioned,architect,Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.437150439815
73,mesanatadenta,mesanatadenta mesanatadenta Hi,@mesanatadenta,https://www.instagram.com/mesanatadenta/,Startup,Teknologi,"Hi, I'm Mesa A first-year architecture student at ITB, GREENSHIP Associate, and founder of the Sustainable Architecture Society (SAS). SAS is built around one question: ""How do we develop architecture that participates in the metabolism of living systems?"" 🌿 It position","Hi, I'm Mesa A first-year architecture student at ITB, GREENSHIP Associate, and founder of the Sustainable Architecture Society (SAS). SAS is built around one question: ""How do we develop architecture that participates in the metabolism of living systems?"" 🌿 It position",Not mentioned,Not mentioned,architecture,Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.4372215625
106,soulthans,Hi,@soulthans,https://www.instagram.com/soulthans/,Designer,Teknologi,"Hi, I’m Sultan an interior designer with a passion for creating thoughtful, well crafted living spaces. I specialize in designing areas like bedrooms, family rooms, and kitchens, balancing aesthetics with functionality. In my work, I take a hands-on approach, from developing design concepts to coord","Hi, I’m Sultan an interior designer with a passion for creating thoughtful, well crafted living spaces. I specialize in designing areas like bedrooms, family rooms, and kitchens, balancing aesthetics with functionality. In my work, I take a hands-on approach, from developing design concepts to coord",Not mentioned,Not mentioned,interior,Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.43741576389
257,dhikacece51,dhikacece51,@dhikacece51,https://www.instagram.com/dhikacece51/,Designer,Desain & Kreatif,"Hi there! My name is Dhika. I am an Architect, and my passion lies in planning and designing beautiful, functional buildings and houses. Given my background and experience, I’m confident I can help you with exactly what you need. Looking forward to hearing about your project!","Hi there! My name is Dhika. I am an Architect, and my passion lies in planning and designing beautiful, functional buildings and houses. Given my background and experience, I’m confident I can help you with exactly what you need. Looking forward to hearing about your project!",Not mentioned,Not mentioned,architect,Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.43805768518
262,dedysisnanto,dedysisnanto dedysisnanto Hi everyone,@dedysisnanto,https://www.instagram.com/dedysisnanto/,Designer,Desain & Kreatif,"Hi everyone,Dedy Here. I am a professional architect also professional designer at 99designs. I had some client in USA and Netherland and more. Indonesian has many good talented peoples and also have strong will to compete with other people in many competitions. Feel free t","Hi everyone,Dedy Here. I am a professional architect also professional designer at 99designs. I had some client in USA and Netherland and more. Indonesian has many good talented peoples and also have strong will to compete with other people in many competitions. Feel free t",Not mentioned,Not mentioned,"architect, professional architect also professional designer",Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.43808199074
437,khrisna_adp,khrisna_adp khrisna_adp Hi everyone! 👋,@khrisna_adp,https://www.instagram.com/khrisna_adp/,Designer,Desain & Kreatif,"Hi everyone! 👋 We are @krya.design, specializing in interior design. ✏️ Our team has 10 years of experience in residential, commercial, and office projects. ✏️ Available for remote work worldwide! If you're looking for a collaboration, let's connect! 🤝","Hi everyone! 👋 We are @krya.design, specializing in interior design. ✏️ Our team has 10 years of experience in residential, commercial, and office projects. ✏️ Available for remote work worldwide! If you're looking for a collaboration, let's connect! 🤝",Not mentioned,10 years,interior,Architecture / Interior,Tidak terdeteksi,10+ tahun,46190.4382875
451,liviaalara,Name ➡️ Livia,@liviaalara,https://www.instagram.com/liviaalara/,Designer,Desain & Kreatif,Name ➡️ Livia Skills ➡️ Graphic Designer & Interior Designer Experience ➡️ Working & communicating with international clients for almost 5 years See my portfolio & linked in page in my bio,Name ➡️ Livia Skills ➡️ Graphic Designer & Interior Designer Experience ➡️ Working & communicating with international clients for almost 5 years See my portfolio & linked in page in my bio,Not mentioned,5 years,interior,Architecture / Interior,Tidak terdeteksi,5+ tahun,46190.4382875
526,solenne_space,solenne_space solenne_space Hi everyone! 👋,@solenne_space,https://www.instagram.com/solenne_space/,Agency,Desain & Kreatif,"Hi everyone! 👋 - I’m an Interior Designer from Indonesia specializing in luxury residential and hospitality design. Over the years, I’ve had the opportunity to work on high-end projects, creating spaces that are timeless, bespoke, and deeply connected to people and place","Hi everyone! 👋 - I’m an Interior Designer from Indonesia specializing in luxury residential and hospitality design. Over the years, I’ve had the opportunity to work on high-end projects, creating spaces that are timeless, bespoke, and deeply connected to people and place",Not mentioned,Not mentioned,interior,Architecture / Interior,Tidak terdeteksi,Tidak disebutkan,46190.4382875463
620,yokaangga.sadewa,yokaangga.sadewa yokaangga.sadewa Hi,@yokaangga.sadewa,https://www.instagram.com/yokaangga.sadewa/,Designer,Teknologi,"Hi, I am Yoka, I am an architect with more than 10 years of experience in the construction field, I am domiciled in Bali, Indonesia. So I am already very experienced in designing architecture in Bali, so if you want to invest in Bali in the form of villas, apartment","Hi, I am Yoka, I am an architect with more than 10 years of experience in the construction field, I am domiciled in Bali, Indonesia. So I am already very experienced in designing architecture in Bali, so if you want to invest in Bali in the form of villas, apartment",Not mentioned,10 years,"architecture, architect",Architecture / Interior,Tidak terdeteksi,10+ tahun,46190.438287592595
263,arifinridwan24,arifinridwan24,@arifinridwan24,https://www.instagram.com/arifinridwan24/,Agency,Desain & Kreatif,"Hi, I’m a self‑employed architect currently building @ouva.co. We believe human architects cannot be replaced by AI, but with AI we can iterate, design faster, and explore more boldly. Our mission is to unite leading architects in shaping AI—transfo","Hi, I’m a self‑employed architect currently building @ouva.co. We believe human architects cannot be replaced by AI, but with AI we can iterate, design faster, and explore more boldly. Our mission is to unite leading architects in shaping AI—transfo",Not mentioned,8+ years,"architect, ai","Architecture / Interior, AI / Data Science",Tidak terdeteksi,8+ tahun,46190.43808199074
654,rhemachrsmtk_,rhemachrsmtk_ rhemachrsmtk_ hello,@rhemachrsmtk_,https://www.instagram.com/rhemachrsmtk_/,Developer,Lainnya,"hello, im Rhema, im a bachelor of Naval architect, i have around 3+ years of experience in shipbuilding / ship repair, my last position on Shipyard was as a Project Engineer I welcome all country & opportunities, as long as we start a discussion & meet the deal! Feel free","hello, im Rhema, im a bachelor of Naval architect, i have around 3+ years of experience in shipbuilding / ship repair, my last position on Shipyard was as a Project Engineer I welcome all country & opportunities, as long as we start a discussion & meet the deal! Feel free",Not mentioned,3+ years,"architect, engineer, Project Engineer","Architecture / Interior, Engineering",Tidak terdeteksi,3+ tahun,46190.43828761574
172,djoko_trisiswanto,djoko_trisiswanto,@djoko_trisiswanto,https://www.instagram.com/djoko_trisiswanto/,Agency,Teknologi,"Hello..I am Joko Tri Siswanto, an Architectural Designer with over 10 years of experience in designing residential projects that prioritize aesthetics, functionality, and spatial comfort. Specializing in Modern Tropical Architecture and Traditional Balinese Archit","Hello..I am Joko Tri Siswanto, an Architectural Designer with over 10 years of experience in designing residential projects that prioritize aesthetics, functionality, and spatial comfort. Specializing in Modern Tropical Architecture and Traditional Balinese Archit",Not mentioned,10 years,"architecture, spatial","Architecture / Interior, GIS / Mapping",Tidak terdeteksi,10+ tahun,46190.43777902778
461,dillhaq,Hi,@dillhaq,https://www.instagram.com/dillhaq/,Agency,Teknologi,"Hi, I'm farhan a Creative Conceptor & Brand Builder. I blend design, strategy, and media to build unique retail spaces and lifestyle brands. With a background in Architecture and Design Management, I focus on turning creative ideas into profitable, experience driven businesses. ✅ What I Do: - Retail","Hi, I'm farhan a Creative Conceptor & Brand Builder. I blend design, strategy, and media to build unique retail spaces and lifestyle brands. With a background in Architecture and Design Management, I focus on turning creative ideas into profitable, experience driven businesses. ✅ What I Do: - Retail",Not mentioned,Not mentioned,"architecture, management","Architecture / Interior, Project / Operations",Tidak terdeteksi,Tidak disebutkan,46190.43828751158
439,citradini.mua,citradini.mua citradini.mua Hi,@citradini.mua,https://www.instagram.com/citradini.mua/,Freelancer,Pendidikan,"Hi, I’m Citra. I am a Makeup Artist since 2018. I’ve been working for 8 years in beauty industry not only as an MUA, but also as a makeup tutor. I got my international certificates from CIBTAC & CIDESCO Diploma after I studied in Puspita Martha Beauty School. I really enj","Hi, I’m Citra. I am a Makeup Artist since 2018. I’ve been working for 8 years in beauty industry not only as an MUA, but also as a makeup tutor. I got my international certificates from CIBTAC & CIDESCO Diploma after I studied in Puspita Martha Beauty School. I really enj",Not mentioned,8 years,"makeup, tutor, mua","Beauty & Makeup, Education & Training",Tidak terdeteksi,8+ tahun,46190.4382875
320,putraideas,Indonesia is full of talented people,@putraideas,https://www.instagram.com/putraideas/,Agency,Lainnya,"Indonesia is full of talented people, and I'm proud to be one of them. I'm Rama, founder of Rupalakar, a brand identity studio that helps businesses transform ideas into brands people remember. Strategic branding, premium-quality execution, and competitive pricing from Indonesia.","Indonesia is full of talented people, and I'm proud to be one of them. I'm Rama, founder of Rupalakar, a brand identity studio that helps businesses transform ideas into brands people remember. Strategic branding, premium-quality execution, and competitive pricing from Indonesia.",Not mentioned,Not mentioned,"branding, brand identity",Branding & Marketing,branding,Tidak disebutkan,46190.43817951389
506,roby.ksv,Hi,@roby.ksv,https://www.instagram.com/roby.ksv/,Designer,Desain & Kreatif,"Hi, I'm roby👋 Ready to scale global brands with fresh, modern visuals. Specializing in Brand Identity & Packaging design. ​Let's connect! Drop a DM to @roby.dsgn","Hi, I'm roby👋 Ready to scale global brands with fresh, modern visuals. Specializing in Brand Identity & Packaging design. ​Let's connect! Drop a DM to @roby.dsgn",Not mentioned,Not mentioned,brand identity,Branding & Marketing,Tidak terdeteksi,Tidak disebutkan,46190.43828753472
549,luth.fihd,Hi! I’m Luthfi,@luth.fihd,https://www.instagram.com/luth.fihd/,Agency,Pendidikan,"Hi! I’m Luthfi, a Multimedia Specialist with 8+ years experience handling all various media content. Specialize in educational, promotional and branding content. I’m ready to elevate your business with my skills. Let’s discuss to explore more about me and my arts via DM. And you can see my work at w","Hi! I’m Luthfi, a Multimedia Specialist with 8+ years experience handling all various media content. Specialize in educational, promotional and branding content. I’m ready to elevate your business with my skills. Let’s discuss to explore more about me and my arts via DM. And you can see my work at w",Not mentioned,8+ years,branding,Branding & Marketing,branding,8+ tahun,46190.438287557874
168,uirwnsyh,hello im ubit irwansyah,@uirwnsyh,https://www.instagram.com/uirwnsyh/,Designer,Teknologi,"hello im ubit irwansyah, and im an graphic designer and architect, with nearly 7 years experience with graphic designers, and many brandings i made. i have a background in Architecture, so if you interested to me, kindly drop your message to me 🙌🤝","hello im ubit irwansyah, and im an graphic designer and architect, with nearly 7 years experience with graphic designers, and many brandings i made. i have a background in Architecture, so if you interested to me, kindly drop your message to me 🙌🤝",Not mentioned,7 years,"branding, architecture, architect","Branding & Marketing, Architecture / Interior",branding,7+ tahun,46190.4377790162
407,leskontenprivat,leskontenprivat leskontenprivat Hello,@leskontenprivat,https://www.instagram.com/leskontenprivat/,Agency,Teknologi,"Hello, I am a bachelor of architecture graduate currently working in a small corporate branding agency called helobrand. In my spare time I also edit several academic publications papers….","Hello, I am a bachelor of architecture graduate currently working in a small corporate branding agency called helobrand. In my spare time I also edit several academic publications papers….",Not mentioned,Not mentioned,"branding, architecture","Branding & Marketing, Architecture / Interior",branding,Tidak disebutkan,46190.43828747685
